VSR-LKH,1000,ALPHA,timelimit,1000,338,23131675.572,15473.317877000012
LKH,100,ALPHA,trials,1,1,7755113.037,39.10832600000007
VSR-LKH,100,ALPHA,trials,1,1,7755140.194,42.082078
LKH,100,ALPHA,trials,10,10,7754173.777,51.246975000000056
VSR-LKH,100,ALPHA,trials,10,10,7753716.36,79.41624800000012
LKH,100,ALPHA,trials,100,100,7753450.397,157.36566499999995
VSR-LKH,100,ALPHA,trials,100,100,7753256.227,690.6506010000003
LKH,100,ALPHA,trials,1000,1000,7753254.436,1219.3737969999981
VSR-LKH,100,ALPHA,trials,1000,1000,7753247.887,6579.177493000005
LKH,100,ALPHA,timelimit,1,1,7755113.037,39.10832600000007
VSR-LKH,100,ALPHA,timelimit,1,1,7755140.194,42.082078
LKH,100,ALPHA,timelimit,10,10,7754173.777,51.246975000000056
VSR-LKH,100,ALPHA,timelimit,10,6,7754266.82,53.77876300000007
LKH,100,ALPHA,timelimit,100,100,7753450.397,157.36566499999995
VSR-LKH,100,ALPHA,timelimit,100,22,7753368.302,162.46013899999988
LKH,100,ALPHA,timelimit,1000,1000,7753254.436,1219.3737969999981
VSR-LKH,100,ALPHA,timelimit,1000,180,7753247.887,1221.9770030000009
LKH,2000,ALPHA,trials,1,1,32484517.489,6367.409265000006
VSR-LKH,2000,ALPHA,trials,1,1,32485643.053,6490.962248999992
LKH,2000,ALPHA,trials,10,10,32467423.844,6969.91149500001
VSR-LKH,2000,ALPHA,trials,10,10,32461211.768,7761.905606000005
LKH,2000,ALPHA,trials,100,100,32455504.166,9576.186012000002
VSR-LKH,2000,ALPHA,trials,100,100,32449074.195,20828.865886000014
LKH,2000,ALPHA,trials,1000,1000,32448926.521,32881.45373300002
VSR-LKH,2000,ALPHA,trials,1000,1000,32447046.709,128475.74883300015
LKH,2000,ALPHA,timelimit,1,1,32484517.489,6367.409265000006
VSR-LKH,2000,ALPHA,timelimit,1,1,32485643.053,6490.962248999992
LKH,2000,ALPHA,timelimit,10,10,32467423.844,6969.91149500001
VSR-LKH,2000,ALPHA,timelimit,10,5,32468087.623,7073.907181000005
LKH,2000,ALPHA,timelimit,100,100,32455504.166,9576.186012000002
VSR-LKH,2000,ALPHA,timelimit,100,24,32454485.015,9712.626244999998
LKH,2000,ALPHA,timelimit,1000,1000,32448926.521,32881.45373300002
VSR-LKH,2000,ALPHA,timelimit,1000,182,32448090.733,32943.261318999976
LKH,200,ALPHA,trials,1,1,10707095.722,98.96527099999999
